movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
The Butterfly Effect,https://www.imdb.com/title/tt0289879/,2004,7.6,30,480637,R,113 min,"Drama, Sci-Fi, Thriller            ","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",None,"Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson","57,938,693"
The Bourne Supremacy,https://www.imdb.com/title/tt0372183/,2004,7.7,73,457343,PG-13,108 min,"Action, Mystery, Thriller            ","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Paul Greengrass,"Matt Damon, Franka Potente, Joan Allen, Brian Cox","176,241,941"
The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/,2011,7.8,71,455529,R,158 min,"Crime, Drama, Mystery            ","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård","102,515,793"
Captain Phillips,https://www.imdb.com/title/tt1535109/,2013,7.8,82,451210,PG-13,134 min,"Action, Biography, Crime            ","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Paul Greengrass,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener","107,100,855"
Mystic River,https://www.imdb.com/title/tt0327056/,2003,7.9,84,449052,R,138 min,"Crime, Drama, Mystery            ",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum","90,135,191"
The Hurt Locker,https://www.imdb.com/title/tt0887912/,2008,7.5,95,444831,R,131 min,"Drama, Thriller, War            ","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce","17,017,811"
Dawn of the Planet of the Apes,https://www.imdb.com/title/tt2103281/,2014,7.6,79,434034,PG-13,130 min,"Action, Adventure, Drama            ",A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee","208,545,589"
Crash,https://www.imdb.com/title/tt0375679/,2004,7.8,66,433367,R,112 min,"Crime, Drama, Thriller            ","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",Paul Haggis,"Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave","54,580,300"
Training Day,https://www.imdb.com/title/tt0139654/,2001,7.7,69,425117,R,122 min,"Action, Crime, Drama            ",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger","76,631,907"
Sicario,https://www.imdb.com/title/tt3397884/,2015,7.6,82,417050,R,121 min,"Action, Crime, Drama            ",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal","46,889,293"
In Bruges,https://www.imdb.com/title/tt0780536/,2008,7.9,67,414083,R,107 min,"Comedy, Crime, Drama            ","Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington","7,757,130"
Saw,https://www.imdb.com/title/tt0387564/,2004,7.6,46,410570,R,103 min,"Horror, Mystery, Thriller            ","Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",James Wan,"Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung","56,000,369"
